PC_NAME,CAND_NAME,PARTYABBRE
Morena,ASHOK CHHAVIRAM ARGAL,BJP
Bhind,DR. RAMLAKHAN SINGH,BJP
Gwalior,RAMSEVAK SINGH ( BABUJI),INC
Guna,JYOTIRADITYA MADHAVRAO SCINDIA,INC
Sagar,VIRENDRA KUMAR,BJP
Khajuraho,"DR. RAMKRISHNA KUSHMARIYA "" BABA JEE """,BJP
Damoh,CHANDRABHAN BHAIYA,BJP
Satna,GANESH SINGH,BJP
Rewa,CHANDRAMANI TRIPATHI,BJP
Sidhi,CHANDRAPRATAP SINGH,BJP
Shahdol,DALPAT SINGH PARASTE,BJP
Balaghat,GAURI SHANKAR CHATURBHUJ BISEN,BJP
Mandla,FAGGAN SINGH KULASTE,BJP
Jabalpur,RAKESH SINGH,BJP
Seoni,NEETA PATERIYA,BJP
Chhindwara,KAMALNATH,INC
Betul,KHANDELWAL VIJAY KUMAR (MUNNI BHAIA),BJP
Hoshangabad,SARTAJ SINGH,BJP
Bhopal,KAILASH JOSHI,BJP
Vidisha,SHIVRAJ SINGH,BJP
Rajgarh,LAKSHMAN SINGH,BJP
Shajapur,THAWARCHAND GEHLOT,BJP
Khandwa,NAND KUMAR SINGH CHAUHAN ( NANDU BHAIYA),BJP
Khargone,KRISHNA MURARI MOGHE,BJP
Dhar,CHHATAR SINGH DARBAR,BJP
Indore,SUMITRA MAHAJAN,BJP
Ujjain,DR. SATYANARAYAN JATIYA,BJP
Jhabua,KANTILAL BHURIA,INC
Mandsaur,DR LAXMINARAYAN PANDEYA,BJP
