MH_Literacy,MH_Constituency
Ahmednagar,Ahmadnagar
Akola,Akola
Amravati,Amravati
Pune,Baramati
Aurangabad,Aurangabad
Beed,Beed
Bhandara,Bhandara - gondiya
Thane,Bhiwandi
Buldhana,Buldhana
Chandrapur,Chandrapur
Dhule,Dhule
Gadchiroli,Gadchiroli-Chimur
Hingoli,Hingoli
Nashik,Dindori
Jalgaon,Jalgaon
Thane,Palghar
Thane,Kalyan
Jalna,Jalna
Kolhapur,Kolhapur
Latur,Latur
Mumbai City,Mumbai North
Mumbai City,Mumbai North West
Mumbai City,Mumbai North East
Mumbai City,Mumbai North central
Mumbai City,Mumbai   South
Mumbai Suburban,Mumbai South central
Nagpur,Nagpur
Nanded,Nanded
Nandurbar,Nandurbar
Nashik,Nashik
Ahmednagar,Shirdi
Osmanabad,Osmanabad
Parbhani,Parbhani
Pune,Pune
Raigad,Raigad
Jalgaon,Raver
Nagpur,Ramtek
Ratnagiri,Ratnagiri - sindhudurg
Sangli,Sangli
Satara,Satara
Sangli,Hatkanangle
Pune,Shirur
Solapur,Solapur
Thane,Thane
Wardha,Wardha
Satara,Madha
Yavatmal,Yavatmal-Washim
Pune,Maval
