UP_Literacy,UP_Constituency
Agra,Agra
Aligarh,Aligarh
Allahabad,Allahabad
Ambedkar Nagar,Ambedkar Nagar
Amethi,Amethi
Amroha,Amroha
Azamgarh,Azamgarh
Baghpat,Baghpat
Bahraich,Bahraich
Ballia,Ballia
Banda,Banda
Barabanki,Barabanki
Bareilly,Bareilly
Basti,Basti
Bijnor,Bijnor
Bulandshahr,Bulandshahr
Chandauli,Chandauli
Deoria,Deoria
Etah,Etah
Etawah,Etawah
Faizabad,Faizabad
Farrukhabad,Farrukhabad
Fatehpur,Fatehpur
Firozabad,Firozabad
Ghaziabad,Ghaziabad
Ghazipur,Ghazipur
Gonda,Gonda
Gorakhpur,Gorakhpur
Hamirpur,Hamirpur
Hardoi,Hardoi
Jalaun,Jalaun
Jaunpur,Jaunpur
Jhansi,Jhansi
Kannauj,Kannauj
Kaushambi,Kaushambi
Kheri,Kheri
Lucknow,Lucknow
Maharajganj,Maharajganj
Mainpuri,Mainpuri
Mathura,Mathura
Meerut,Meerut
Mirzapur,Mirzapur
Moradabad,Moradabad
Muzaffarnagar,Muzaffarnagar
Pilibhit,Pilibhit
Pratapgarh,Pratapgarh
Rampur,Rampur
Saharanpur,Saharanpur
Sant Kabir Nagar,Sant kabir Nagar
Shahjahanpur,Shahjahanpur
Sitapur,Sitapur
Sultanpur,Sultanpur
Unnao,Unnao
Varanasi,Varanasi
Kushinagar,Kushi Nagar
Raebareli,Rae bareli
Gautam Buddha Nagar,Gautam buddh Nagar
Shravasti,Shrawasti
Fatehpur,Fatehpur sikri
Hardoi,Bhadohi
Kanpur Nagar,Kanpur
Budaun,Badaun
Deoria,Salempur
Aligarh,Hathras
Faizabad,Akbarpur
Muzaffarnagar,Kairana
Gorakhpur,Bansgaon
Kheri,Dhaurahra
Azamgarh,Phulpur
Bijnor,Nagina
Moradabad,Sambhal
Bareilly,Aonla
Azamgarh,Lalganj
Basti,Domariyaganj
Azamgarh,Ghosi
Bahraich,Kaiserganj
Sitapur,Misrikh
Lucknow,Mohanlalganj
Jaunpur,Machhlishahr
Mirzapur,Robertsganj
