UP_Religion_District,UP_Constituency
Saharanpur,Saharanpur
Muzaffarnagar,Muzaffarnagar
Bijnor,Bijnor
Moradabad,Moradabad
Rampur,Rampur
Meerut,Meerut
Baghpat,Baghpat
Ghaziabad,Ghaziabad
Aligarh,Aligarh
Mathura,Mathura
Agra,Agra
Firozabad,Firozabad
Mainpuri,Mainpuri
Bareilly,Bareilly
Pilibhit,Pilibhit
Shahjahanpur,Shahjahanpur
Kheri,Kheri
Sitapur,Sitapur
Hardoi,Hardoi
Unnao,Unnao
Lucknow,Lucknow
Rae Bareli,Rae bareli
Farrukhabad,Farrukhabad
Kannauj,Kannauj
Etawah,Etawah
Jhansi,Jhansi
Hamirpur,Hamirpur
Banda,Banda
Fatehpur,Fatehpur
Pratapgarh,Pratapgarh
Kaushambi,Kaushambi
Faizabad,Faizabad
Ambedkar Nagar,Ambedkar Nagar
Sultanpur,Sultanpur
Bahraich,Bahraich
Shrawasti,Shrawasti
Gonda,Gonda
Basti,Basti
Sant Kabir Nagar,Sant kabir Nagar
Gorakhpur,Gorakhpur
Deoria,Deoria
Azamgarh,Azamgarh
Ballia,Ballia
Jaunpur,Jaunpur
Ghazipur,Ghazipur
Chandauli,Chandauli
Varanasi,Varanasi
Mirzapur,Mirzapur
Etah,Etah
Bulandshahr ,Bulandshahr
Kushinagar,Kushi Nagar
Allahabad ,Allahabad
Bara Banki,Barabanki
Jalaun ,Jalaun
Gautam Buddha Nagar,Gautam buddh Nagar
Mahrajganj,Maharajganj
Fatehpur,Fatehpur sikri
Hardoi,Bhadohi
Kanpur Dehat,Kanpur
Budaun,Badaun
Basti,Domariyaganj
Deoria,Salempur
Aligarh,Hathras
Faizabad,Akbarpur
Muzaffarnagar,Kairana
Gorakhpur,Bansgaon
Rae Bareli,Amethi
Kheri,Dhaurahra
Azamgarh,Phulpur
Moradabad,Amroha
Bijnor,Nagina
Bareilly,Aonla
Azamgarh,Lalganj
Moradabad,Sambhal
Azamgarh,Ghosi
Lucknow,Mohanlalganj
Bahraich,Kaiserganj
Sitapur,Misrikh
Jaunpur,Machhlishahr
Mirzapur,Robertsganj
