Table,Distt.,Area Name,Total Persons,Total HinduPersons,Total Muslim Persons
C0101,000,State - UTTAR PRADESH,199812341,159312654,38483967
C0101,132,Saharanpur,3466382,1966892,1454052
C0101,133,Muzaffarnagar,4143512,2382914,1711453
C0101,134,Bijnor,3682713,2032081,1585210
C0101,135,Moradabad,4772006,2488265,2248392
C0101,136,Rampur,2335819,1073890,1181337
C0101,137,Jyotiba Phule Nagar,1840221,1075440,750368
C0101,138,Meerut,3443689,2183255,1185643
C0101,139,Baghpat,1303048,917474,364583
C0101,140,Ghaziabad,4681645,3414427,1186776
C0101,141,Gautam Buddha Nagar,1648115,1394025,215500
C0101,142,Bulandshahr ,3499171,2707195,777407
C0101,143,Aligarh,3673889,2904140,729283
C0101,144,Mahamaya Nagar,1564708,1397225,159448
C0101,145,Mathura,2547184,2310776,216933
C0101,146,Agra,4418797,3922718,411313
C0101,147,Firozabad,2498156,2140745,314812
C0101,148,Mainpuri,1868529,1746649,100723
C0101,149,Budaun,3681896,2867707,790515
C0101,150,Bareilly,4448359,2830768,1536534
C0101,151,Pilibhit,2031007,1449007,489686
C0101,152,Shahjahanpur,3006538,2412595,527581
C0101,153,Kheri,4021243,3078262,807600
C0101,154,Sitapur,4483992,3555450,893725
C0101,155,Hardoi,4092845,3508131,556219
C0101,156,Unnao,3108367,2732016,363453
C0101,157,Lucknow,4589838,3537787,985070
C0101,158,Rae Bareli,3405559,2975998,413243
C0101,159,Farrukhabad,1885204,1596278,276846
C0101,160,Kannauj,1656616,1375788,273967
C0101,161,Etawah,1581810,1457892,113961
C0101,162,Auraiya,1379545,1273546,101963
C0101,163,Kanpur Dehat,1796184,1612968,176327
C0101,164,Kanpur Nagar,4581268,3792174,720660
C0101,165,Jalaun ,1689974,1509708,171581
C0101,166,Jhansi,1998603,1823930,147842
C0101,167,Lalitpur,1221592,1163804,33724
C0101,168,Hamirpur,1104285,1010014,91269
C0101,169,Mahoba,875958,815142,57454
C0101,170,Banda,1799410,1637549,157612
C0101,171,Chitrakoot,991730,955372,34559
C0101,172,Fatehpur,2632733,2274674,350700
C0101,173,Pratapgarh,3209141,2731351,452394
C0101,174,Kaushambi,1599596,1372381,220423
C0101,175,Allahabad ,5954391,5102041,796756
C0101,176,Bara Banki,3260699,2505444,737106
C0101,177,Faizabad,2470996,2094271,365806
C0101,178,Ambedkar Nagar,2397888,1985654,401678
C0101,179,Sultanpur,3797117,3119590,650261
C0101,180,Bahraich,3487731,2291892,1169330
C0101,181,Shrawasti,1117361,768643,343981
C0101,182,Balrampur,2148665,1333242,805975
C0101,183,Gonda,3433919,2739076,678615
C0101,184,Siddharthnagar,2559297,1789704,748073
C0101,185,Basti,2464464,2082976,364510
C0101,186,Sant Kabir Nagar,1715183,1300586,404410
C0101,187,Mahrajganj,2684703,2196884,458650
C0101,188,Gorakhpur,4440895,4009037,403847
C0101,189,Kushinagar,3564544,2928462,620244
C0101,190,Deoria,3100946,2730957,358539
C0101,191,Azamgarh,4613913,3878626,718692
C0101,192,Mau,2205968,1769937,428555
C0101,193,Ballia,3239774,3004240,213440
C0101,194,Jaunpur,4494204,3981502,483750
C0101,195,Ghazipur,3620268,3233790,368153
C0101,196,Chandauli,1952756,1727869,215081
C0101,197,Varanasi,3676841,3107681,546987
C0101,198,Sant Ravidas Nagar (Bhadohi),1578213,1368291,203887
C0101,199,Mirzapur,2496970,2292534,195765
C0101,200,Sonbhadra,1862559,1738769,103567
C0101,201,Etah,1774480,1611126,146346
C0101,202,Kanshiram Nagar,1436719,1211427,213822
