WB_Literacy,WB_Constituency
Darjeeling,Darjeeling
Jalpaiguri ,Jalpaiguri
Murshidabad,Jangipur
South 24 Parganas,Joynagar
South 24 Parganas,Jadavpur
Purba Medinipur,Tamluk
Birbhum ,Bolpur
Cooch Behar,Cooch behar
Purba Medinipur,Kanthi
Uttar Dinajpur,Raiganj
North 24 Parganas,Barrackpore
South 24 Parganas,Mathurapur
Nadia,Krishnanagar
South 24 Parganas,Diamond harbour
Purba Medinipur,Medinipur
Barddhaman ,Burdwan - durgapur
Maldah,Maldaha Uttar
Maldah,Maldaha Dakshin
Nadia,Ranaghat
Murshidabad,Murshidabad
Barddhaman ,Bishnupur
Birbhum,Birbhum
Murshidabad,Baharampur
North 24 Parganas,Dum dum
North 24 Parganas,Barasat
North 24 Parganas,Basirhat
Paschim Medinipur,Arambagh
Barddhaman ,Bardhaman Purba
Barddhaman ,Asansol
Hooghly,Hooghly
Dakshin Dinajpur,Balurghat
North 24 Parganas,Bangaon
Puruliya,Bankura
Cooch Behar,Alipurduars
Howrah,Uluberia
Puruliya,Purulia
Howrah,Howrah
Purba Medinipur,Ghatal
Puruliya,Jhargram
Kolkata,Kolkata Dakshin
Kolkata,Kolkata Uttar
Hooghly,Srerampur
