WB_Religion_District,WB_Constituency
Darjiling ,Darjeeling
Jalpaiguri ,Jalpaiguri
Murshidabad ,Jangipur
South Twenty Four Parganas,Joynagar
South Twenty Four Parganas,Jadavpur
Purba Medinipur,Tamluk
Birbhum ,Bolpur
Koch Bihar ,Cooch behar
Purba Medinipur,Kanthi
Uttar Dinajpur,Raiganj
North Twenty Four Parganas,Barrackpore
South Twenty Four Parganas,Mathurapur
Nadia ,Krishnanagar
South Twenty Four Parganas,Diamond harbour
Purba Medinipur,Medinipur
Barddhaman ,Burdwan - durgapur
Maldah ,Maldaha Uttar
Maldah ,Maldaha Dakshin
Nadia ,Ranaghat
Murshidabad ,Murshidabad
Barddhaman ,Bishnupur
Birbhum,Birbhum
Murshidabad ,Baharampur
North Twenty Four Parganas,Dum dum
North Twenty Four Parganas,Barasat
North Twenty Four Parganas,Basirhat
Paschim Medinipur,Arambagh
Barddhaman ,Bardhaman Purba
Barddhaman ,Asansol
Hugli ,Hooghly
Dakshin Dinajpur,Balurghat
North Twenty Four Parganas,Bangaon
Puruliya,Bankura
Koch Bihar ,Alipurduars
Haora ,Uluberia
Puruliya,Purulia
Haora ,Howrah
Purba Medinipur,Ghatal
Puruliya,Jhargram
Kolkata,Kolkata Dakshin
Kolkata,Kolkata Uttar
Hugli ,Srerampur
